filename;width;height;class;xmin;ymin;xmax;ymax
5_1_2_128.jpg;128;128;waldo;7;70;28;97
6_15_1_64.jpg;64;64;waldo;37;15;64;50
17_3_1_256.jpg;256;256;waldo;85;71;108;113
5_1_0_256.jpg;256;256;waldo;216;209;233;235
14_0_3_256.jpg;256;256;waldo;62;23;99;62
8_tad.jpg;2800;1760;waldo;1166;291;1191;322
28_tad.jpg;661;720;waldo;485;502;498;517
7_3_1_256.jpg;256;256;waldo;22;96;51;124
20_tad.jpg;2953;2088;waldo;290;1680;331;1731
13_1_0_256.jpg;256;256;waldo;118;170;140;189
17_13_5_64.jpg;64;64;waldo;21;6;46;49
bigs.jpg;3564;2256;waldo;620;1459;656;1504
31_tad.jpg;500;256;waldo;401;5;440;52
15_tad.jpg;1600;1006;waldo;297;428;311;445
1_2_3_128.jpg;128;128;waldo;1;39;26;75
29_tad.jpg;1286;944;waldo;930;594;948;617
10_15_4_64.jpg;64;64;waldo;37;30;63;64
9_5_5_64.jpg;64;64;waldo;5;4;19;23
temp.jpg;3473;2175;waldo;795;688;879;908
17_6_2_128.jpg;128;128;waldo;86;69;108;111
16_2_0_256.jpg;256;256;waldo;167;223;191;256
19_tad.jpg;1280;864;waldo;338;623;351;640
1_tad.jpg;2048;1251;waldo;706;513;743;562
12_2_1_64.jpg;64;64;waldo;1;23;55;64
3_7_0_128.jpg;128;128;waldo;102;79;128;114
18_tad.jpg;1590;981;waldo;1259;75;1290;111
future.jpg;3000;1975;waldo;1199;1213;1229;1241
legion.jpg;3542;2231;waldo;433;1016;459;1042
fla.jpg;3540;2254;waldo;840;1527;879;1588
vikings.jpg;1848;1158;waldo;184;840;204;869
17_1_5_128.jpg;128;128;waldo;74;29;92;48
9_2_2_128.jpg;128;128;waldo;68;67;84;87
1_1_1_256.jpg;256;256;waldo;1;166;26;208
14_0_6_128.jpg;128;128;waldo;62;24;97;61
ballet.jpg;3544;2228;waldo;3464;841;3498;871
future.jpg;3000;1975;waldo;871;1002;897;1037
9_9_5_64.jpg;64;64;waldo;43;25;59;50
10_3_1_256.jpg;256;256;waldo;229;31;256;62
13_0_0_128.jpg;128;128;waldo;56;76;111;128
2_3_1_128.jpg;128;128;waldo;87;81;107;107
18_7_3_128.jpg;128;128;waldo;49;50;81;96
18_2_14_64.jpg;64;64;waldo;1;44;15;64
9_1_1_256.jpg;256;56;waldo;68;67;84;89
2_0_1_256.jpg;256;256;waldo;134;68;157;97
10_7_2_128.jpg;128;128;waldo;103;30;128;64
26_tad.jpg;954;702;waldo;883;332;904;353
2_tad.jpg;1286;946;waldo;82;521;107;554
temp.jpg;3473;2175;waldo;2281;600;2310;634
12_1_6_128.jpg;128;128;waldo;88;1;105;21
4_0_2_256.jpg;256;256;waldo;148;227;172;256
2_7_3_64.jpg;64;64;waldo;24;16;42;42
16_5_2_128.jpg;128;128;waldo;31;1;67;111
5_7_3_64.jpg;64;64;waldo;24;16;42;43
underground.jpg;3566;2257;waldo;3067;880;3092;920
12_tad.jpg;1276;1754;waldo;846;517;878;563
knight.jpg;3591;2244;waldo;198;1898;264;2042
30_tad.jpg;900;648;waldo;678;496;693;516
7_tad.jpg;1949;1419;waldo;817;951;852;999
13_1_5_128.jpg;128;128;waldo;46;97;66;118
14_tad.jpg;1700;2340;waldo;197;1878;237;1919
36_tad.jpg;591;629;waldo;527;15;554;48
21_0_0_256.jpg;256;256;waldo;29;58;80;117
1_4_6_64.jpg;64;64;waldo;1;35;26;64
2_1_0_256.jpg;256;256;waldo;215;208;235;238
3_tad.jpg;2048;1346;waldo;1390;463;1422;500
rom.jpg;1799;1127;waldo;735;307;765;367
stars.jpg;3553;2227;waldo;2514;898;2544;937
11_3_5_128.jpg;128;128;waldo;12;46;41;82
12_0_3_256.jpg;256;256;waldo;216;1;232;22
2_1_2_128.jpg;128;128;waldo;7;70;28;97
ballet.jpg;3544;2228;waldo;2218;2005;2245;2038
16_2_1_256.jpg;256;256;waldo;156;1;198;109
34_tad.jpg;413;500;waldo;175;2;290;132
pirates.jpg;2560;1599;waldo;2481;598;2512;660
4_2_11_64.jpg;64;64;waldo;19;36;44;64
23_tad.jpg;2560;1680;waldo;1422;728;1440;755
18_3_1_256.jpg;256;256;waldo;178;177;210;224
16_10_4_64.jpg;64;64;waldo;20;1;64;63
6_3_0_256.jpg;256;256;waldo;228;79;256;115
12_2_2_64.jpg;64;64;waldo;7;1;47;25
27_tad.jpg;700;700;waldo;132;82;152;106
2_2_5_64.jpg;64;64;waldo;7;5;28;33
9_0_3_256.jpg;256;256;waldo;44;5;79;99
12_3_12_64.jpg;64;64;waldo;24;2;40;21
ali_baba.jpg;3505;2226;waldo;2532;1313;2572;1353
36_tad.jpg;591;629;waldo;270;5;300;42
11_3_3_256.jpg;256;256;waldo;168;1;201;33
36_tad.jpg;591;629;waldo;449;8;479;40
13_2_11_64.jpg;64;64;waldo;46;33;64;53
6_tad.jpg;2048;1454;waldo;1715;408;1754;452
pyramids.jpg;1776;1113;waldo;1371;287;1404;347
3_15_1_64.jpg;64;64;waldo;38;15;64;52
8_tad.jpg;2800;1760;waldo;618;130;707;227
11_1_2_256.jpg;256;256;waldo;140;174;174;211
22_tad.jpg;960;671;waldo;470;125;484;141
36_tad.jpg;464;547;waldo;94;270;106;279
musketier.jpg;3547;2224;waldo;1853;1763;1888;1800
4_1_5_128.jpg;128;128;waldo;18;100;44;128
13_2_1_128.jpg;128;128;waldo;112;40;128;90
24_tad.jpg;1772;1112;waldo;723;1055;741;1076
5_2_5_64.jpg;64;64;waldo;7;5;27;32
aztec.jpg;1800;1128;waldo;1693;596;1721;637
25_tad.jpg;736;536;waldo;461;44;474;60
13_5_2_64.jpg;64;64;waldo;55;43;64;60
32_tad.jpg;325;300;waldo;145;18;186;68
5_tad.jpg;2100;1760;waldo;882;594;913;634
3_3_0_256.jpg;256;256;waldo;229;80;256;115
13_3_1_128.jpg;128;128;waldo;1;41;19;93
13_1_1_64.jpg;64;64;waldo;1;11;46;64
14_1_12_64.jpg;64;64;waldo;1;24;32;60
11_6_11_64.jpg;64;64;waldo;20;1;39;16
krawall.jpg;3544;2226;waldo;2206;1501;2245;1539
ballet.jpg;3544;2228;waldo;3482;1737;3515;1780
6_7_0_128.jpg;128;128;waldo;100;79;128;115
18_14_6_64.jpg;64;64;waldo;51;50;64;63
spae.jpg;3538;2223;waldo;3223;1213;3262;1267
19_0_1_256.jpg;256;256;waldo;1;180;16;220
19_0_3_128.jpg;128;128;waldo;1;52;14;86
18_1_7_128.jpg;128;128;waldo;1;43;17;69
13_0_2_256.jpg;256;256;waldo;175;226;194;244
17_tad.jpg;1599;1230;waldo;751;250;772;281
18_0_3_256.jpg;256;256;waldo;119;170;148;197
13_6_2_64.jpg;64;64;waldo;1;38;7;62
12_0_0_256.jpg;256;256;waldo;123;87;185;159
21_tad.jpg;2048;1515;waldo;1321;1366;1350;1398
33_tad.jpg;456;256;waldo;145;0;314;176
13_0_0_256.jpg;256;256;waldo;58;76;111;135
16_tad.jpg;1525;3415;waldo;556;0;1140;630
19_2_3_256.jpg;256;256;waldo;115;52;134;82
9_0_6_128.jpg;128;128;waldo;46;7;80;98
7_12_5_64.jpg;64;64;waldo;21;32;49;59
9_tad.jpg;1298;951;waldo;231;735;261;769
11_tad.jpg;2828;1828;waldo;460;1530;482;1557
4_tad.jpg;2048;1272;waldo;1484;279;1507;306
5_3_1_128.jpg;128;128;waldo;88;81;105;106
13_tad.jpg;1280;864;waldo;932;274;942;288
7_6_2_128.jpg;128;128;waldo;22;98;50;124
10_tad.jpg;1600;980;waldo;428;83;483;145
10_tad.jpg;1600;980;waldo;715;157;733;181
5_0_1_256.jpg;256;256;waldo;135;70;156;97
36_tad.jpg;591;629;waldo;171;20;196;48
1_4_7_64.jpg;64;64;waldo;4;1;22;15
36_tad.jpg;591;629;waldo;358;5;388;38
35_tad.jpg;600;374;waldo;300;44;515;254
