filename;width;height;class;xmin;ymin;xmax;ymax
1_1_1_256.jpg;256;256;waldo;1;166;26;208
1_2_3_128.jpg;128;128;waldo;1;39;26;75
1_4_6_64.jpg;64;64;waldo;1;35;26;64
1_4_7_64.jpg;64;64;waldo;4;1;22;15
2_0_1_256.jpg;256;256;waldo;134;68;157;97
2_1_0_256.jpg;256;256;waldo;215;208;235;238
2_1_2_128.jpg;128;128;waldo;7;70;28;97
2_2_5_64.jpg;64;64;waldo;7;5;28;33
2_3_1_128.jpg;128;128;waldo;87;81;107;107
2_7_3_64.jpg;64;64;waldo;24;16;42;42
3_3_0_256.jpg;256;256;waldo;229;80;256;115
3_7_0_128.jpg;128;128;waldo;102;79;128;114
3_15_1_64.jpg;64;64;waldo;38;15;64;52
4_0_2_256.jpg;256;256;waldo;148;227;172;256
4_1_5_128.jpg;128;128;waldo;18;100;44;128
4_2_11_64.jpg;64;64;waldo;19;36;44;64
5_0_1_256.jpg;256;256;waldo;135;70;156;97
5_1_0_256.jpg;256;256;waldo;216;209;233;235
5_1_2_128.jpg;128;128;waldo;7;70;28;97
5_2_5_64.jpg;64;64;waldo;7;5;27;32
5_3_1_128.jpg;128;128;waldo;88;81;105;106
5_7_3_64.jpg;64;64;waldo;24;16;42;43
6_3_0_256.jpg;256;256;waldo;228;79;256;115
6_7_0_128.jpg;128;128;waldo;100;79;128;115
6_15_1_64.jpg;64;64;waldo;37;15;64;50
7_3_1_256.jpg;256;256;waldo;22;96;51;124
7_6_2_128.jpg;128;128;waldo;22;98;50;124
7_12_5_64.jpg;64;64;waldo;21;32;49;59
9_0_3_256.jpg;256;256;waldo;44;5;79;99
9_0_6_128.jpg;128;128;waldo;46;7;80;98
9_1_1_256.jpg;256;56;waldo;68;67;84;89
9_2_2_128.jpg;128;128;waldo;68;67;84;87
9_5_5_64.jpg;64;64;waldo;5;4;19;23
9_9_5_64.jpg;64;64;waldo;43;25;59;50
10_3_1_256.jpg;256;256;waldo;229;31;256;62
10_7_2_128.jpg;128;128;waldo;103;30;128;64
10_15_4_64.jpg;64;64;waldo;37;30;63;64
11_1_2_256.jpg;256;256;waldo;140;174;174;211
11_3_3_256.jpg;256;256;waldo;168;1;201;33
11_3_5_128.jpg;128;128;waldo;12;46;41;82
11_6_11_64.jpg;64;64;waldo;20;1;39;16
12_0_0_256.jpg;256;256;waldo;123;87;185;159
12_0_3_256.jpg;256;256;waldo;216;1;232;22
12_1_6_128.jpg;128;128;waldo;88;1;105;21
12_2_1_64.jpg;64;64;waldo;1;23;55;64
12_2_2_64.jpg;64;64;waldo;7;1;47;25
12_3_12_64.jpg;64;64;waldo;24;2;40;21
13_0_0_128.jpg;128;128;waldo;56;76;111;128
13_0_0_256.jpg;256;256;waldo;58;76;111;135
13_0_2_256.jpg;256;256;waldo;175;226;194;244
13_1_0_256.jpg;256;256;waldo;118;170;140;189
13_1_1_64.jpg;64;64;waldo;1;11;46;64
13_1_5_128.jpg;128;128;waldo;46;97;66;118
13_2_1_128.jpg;128;128;waldo;112;40;128;90
13_2_11_64.jpg;64;64;waldo;46;33;64;53
13_3_1_128.jpg;128;128;waldo;1;41;19;93
13_5_2_64.jpg;64;64;waldo;55;43;64;60
13_6_2_64.jpg;64;64;waldo;1;38;7;62
14_0_3_256.jpg;256;256;waldo;62;23;99;62
14_0_6_128.jpg;128;128;waldo;62;24;97;61
14_1_12_64.jpg;64;64;waldo;1;24;32;60
16_2_0_256.jpg;256;256;waldo;167;223;191;256
16_2_1_256.jpg;256;256;waldo;156;1;198;109
16_5_2_128.jpg;128;128;waldo;31;1;67;111
16_10_4_64.jpg;64;64;waldo;20;1;64;63
17_1_5_128.jpg;128;128;waldo;74;29;92;48
17_3_1_256.jpg;256;256;waldo;85;71;108;113
17_6_2_128.jpg;128;128;waldo;86;69;108;111
17_13_5_64.jpg;64;64;waldo;21;6;46;49
18_0_3_256.jpg;256;256;waldo;119;170;148;197
18_1_7_128.jpg;128;128;waldo;1;43;17;69
